Louisville_intype,Louisville_insubtype,Louisville_indate,Louisville_surreason,Louisville_outtype,Louisville_outsubtype,Louisville_outdate,Louisville_animaltype,Louisville_bites,Louisville_petsize,Dallas_Animal Type,Dallas_Animal Breed,Dallas_Intake Type,Dallas_Intake Subtype,Dallas_Intake Date,Dallas_Outcome Type,Dallas_Outcome Subtype,Dallas_Month,Dallas_Year
STRAY,OTC,2022-11-08,STRAY,RTO,IN KENNEL,2022-11-11,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-11-21,STRAY,ADOPTION,EVENT,2022-12-01,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-12-01,OWNER DIED,ADOPTION,WALK IN,2022-12-13,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-11-22,STRAY,ADOPTION,WALK IN,2022-12-10,CAT,N,LARGE,DOG,MIXED BREED,STRAY,CONFINED,2022-12-23,EUTHANIZED,BEHAVIOR,FY2024,FY2023
FOSTER,RETURN,2022-12-15,STRAY,TRANSFER,RESCUE GRP,2022-12-17,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-03,STRAY,RTO,IN KENNEL,2022-02-09,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-12-29,STRAY,FOSTER,TOO YOUNG,2022-12-31,CAT,N,KITTN,DOG,SCHNAUZER STAND,STRAY,WEB,2022-12-08,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-09-14,STRAY,TRANSFER,KHS,2022-09-23,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-12-30,WILDLIFE,EUTH,RABIESTEST,2022-12-30,OTHER,Y,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-09-15,STRAY,FOSTER,TOO YOUNG,2022-09-17,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-09-15,STRAY,FOSTER,TOO YOUNG,2022-09-17,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-09-17,STRAY,FOSTER,MEDICAL,2022-09-17,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-09-20,STRAY,RTO,IN KENNEL,2022-09-27,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-09-14,STRAY,ADOPTION,WALK IN,2022-10-13,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-07-03,STRAY,RTO,IN FIELD,2022-07-12,DOG,N,X-LRG,DOG,PIT BULL,STRAY,WEB,2022-12-20,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-07-04,STRAY,RTO,IN KENNEL,2022-07-04,DOG,N,SMALL,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-23,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-07-30,FOSTER RET,ADOPTION,WALK IN,2022-07-30,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-11-11,FOSTER RET,FOSTER,CONTAG DIS,2022-11-23,CAT,N,KITTN,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-12-09,FOSTER RET,ADOPTION,WALK IN,2022-12-10,CAT,N,KITTN,DOG,POODLE STND,STRAY,WEB,2022-12-22,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-11-11,FOSTER RET,FOSTER,CONTAG DIS,2022-11-23,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-23,EUTHANIZED,MEDICAL,FY2024,FY2023
FOSTER,RETURN,2022-12-09,FOSTER RET,ADOPTION,WALK IN,2022-12-09,CAT,N,KITTN,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-23,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-09-17,STRAY,FOSTER,STRAY,2022-09-22,DOG,N,SMALL,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-11-17,FOSTER RET,ADOPTION,FOSTER,2022-11-17,DOG,N,SMALL,DOG,PIT BULL,CONFISCATED,QUARANTINE,2022-12-27,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-09-17,STRAY,EUTH,MEDICAL,2022-09-17,CAT,N,SMALL,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-09-17,STRAY,TRANSFER,KHS,2022-09-19,CAT,N,KITTN,CAT,DOMESTIC SH,OWNER SURRENDER,WALK IN,2022-12-23,TRANSFER,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-10-05,STRAY,FOSTER,TOO YOUNG,2022-10-11,CAT,N,KITTN,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-23,FOSTER,SAME DAY,FY2024,FY2023
STRAY,OTC,2022-07-14,STRAY,RTO,IN KENNEL,2022-07-16,DOG,N,LARGE,CAT,DOMESTIC SH,FOSTER,DIED,2022-12-24,DIED,IN FOSTER,FY2024,FY2023
CONFISCATE,EVICTION,2022-07-17,STRAY,RTO,IN FIELD,2022-07-17,DOG,N,SMALL,DOG,MIXED BREED,STRAY,CONFINED,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-07-18,STRAY,FOSTER,TIME/SPACE,2022-07-28,DOG,N,MED,CAT,DOMESTIC LH,STRAY,AT LARGE,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-10-19,FOSTER RET,ADOPTION,WALK IN,2022-10-20,DOG,N,MED,CAT,DOMESTIC SH,OWNER SURRENDER,WALK IN,2022-12-23,TRANSFER,BEHAVIOR,FY2024,FY2023
FOSTER,RETURN,2022-08-18,LANDLORD,ADOPTION,WALK IN,2022-09-25,DOG,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
CONFISCATE,NEGLECT,2022-07-23,CRUELTY,RTO,IN KENNEL,2022-07-26,LIVESTOCK,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-12-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-07-27,STRAY,FOSTER,TOO YOUNG,2022-08-03,CAT,N,KITTN,DOG,CHIHUAHUA SH,STRAY,WEB,2022-12-18,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-08-01,STRAY,RTO,IN KENNEL,2022-08-02,DOG,N,MED,DOG,AM PIT BULL TER,STRAY,WEB,2022-12-21,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-08-31,FOSTER RET,ADOPTION,WALK IN,2022-08-31,CAT,N,KITTN,DOG,ROTTWEILER,STRAY,WEB,2022-12-23,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-12-22,STRAY,EUTH,INHUMANE,2022-12-22,CAT,N,LARGE,DOG,CHIHUAHUA SH,STRAY,WEB,2022-12-18,LOST EXP,OTHER,FY2024,FY2023
CONFISCATE,EVICTION,2022-06-13,ABANDON,RTO,IN FIELD,2022-06-17,CAT,N,MED,DOG,PUG,STRAY,WEB,2022-12-23,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-12-21,STRAY,FOSTER,TIME/SPACE,2023-01-07,DOG,N,MED,DOG,SCHNAUZER STAND,STRAY,WEB,2022-12-08,LOST EXP,OTHER,FY2024,FY2023
OWNER SUR,OTC,2022-05-03,MOVE,FOSTER,MEDICAL,2022-05-04,DOG,N,SMALL,DOG,PUG,STRAY,WEB,2022-12-23,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-05-09,STRAY,TNR,CARETAKER,2022-05-11,CAT,N,SMALL,DOG,BORDER COLLIE,STRAY,WEB,2022-12-23,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-10-25,STRAY,RTO,IN KENNEL,2022-10-25,DOG,N,MED,DOG,GERM SHEPHERD,STRAY,WEB,2022-11-30,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-05-12,STRAY,FOSTER,TOO YOUNG,2022-05-12,CAT,N,KITTN,DOG,PIT BULL,OWNER SURRENDER,PICK UP,2022-12-24,EUTHANIZED,BEHAVIOR,FY2024,FY2023
FOSTER,RETURN,2022-06-03,FOSTER RET,ADOPTION,WALK IN,2022-06-03,CAT,N,KITTN,DOG,CHOW CHOW,STRAY,AT LARGE,2022-12-24,EUTHANIZED,MEDICAL,FY2024,FY2023
FOSTER,RETURN,2022-06-03,FOSTER RET,ADOPTION,WALK IN,2022-06-03,CAT,N,SMALL,DOG,CAIRN TERRIER,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-17,STRAY,ADOPTION,WALK IN,2022-07-12,CAT,Y,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,FOSTER,SAME DAY,FY2024,FY2023
STRAY,OTC,2022-07-06,STRAY,FOSTER,STRAY,2022-07-11,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,EUTHANIZED,SPACE:MED,FY2024,FY2023
STRAY,OTC,2022-12-21,ABANDON,FOSTER,TIME/SPACE,2023-01-09,DOG,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,EUTHANIZED,SPACE:BEH,FY2024,FY2023
RETURN,ADOPTION,2022-07-13,HYPER,TRANSFER,RESCUE GRP,2022-08-10,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-07-06,STRAY,ADOPTION,WALK IN,2022-07-13,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,OTC,2022-06-16,EUTH MED,EUTH,REQUESTED,2022-06-16,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-03,STRAY,FOSTER,RESCUE GRP,2022-05-11,DOG,N,TOY,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-04,STRAY,FOSTER,TOO YOUNG,2022-05-04,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-06,STRAY,RTO,IN KENNEL,2022-05-14,CAT,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-11-18,EUTH OTHER,EUTH,REQUESTED,2022-11-29,DOG,Y,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-09,STRAY,ADOPTION,WALK IN,2022-05-26,DOG,N,MED,DOG,ALASKAN HUSKY,STRAY,WEB,2022-12-03,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-05-11,ABANDON,ADOPTION,WALK IN,2022-06-06,DOG,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
CONFISCATE,POLICE,2022-05-15,OWNER DIED,RTO,IN KENNEL,2022-05-17,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-11-21,STRAY,ADOPTION,FACEBOOK,2022-12-07,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-30,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-12-17,FOSTER RET,TRANSFER,RESCUE GRP,2022-12-21,DOG,N,TOY,DOG,GERM SHEPHERD,STRAY,WEB,2022-12-24,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-23,STRAY,ADOPTION,WALK IN,2022-12-16,DOG,N,MED,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-12-14,STRAY,RTO,IN KENNEL,2022-12-14,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-06-23,STRAY,FOSTER,TOO YOUNG,2022-06-27,CAT,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-08-04,STRAY,RTO,IN KENNEL,2022-08-10,DOG,N,LARGE,DOG,MIN PINSCHER,OWNER SURRENDER,URGENT,2022-12-24,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,FIELD,2022-06-29,STRAY,TRANSFER,KHS,2022-07-13,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,FOSTER,GENERAL,FY2024,FY2023
DISPOSAL,FIELD,2022-12-17,STRAY,DISPOSAL,STRAY,2022-12-17,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-06-29,STRAY,TRANSFER,KHS,2022-07-13,CAT,N,KITTN,DOG,MIXED BREED,OWNER SURRENDER,QUARANTINE,2022-12-24,EUTHANIZED,BITE,FY2024,FY2023
CONFISCATE,BITE,2022-07-04,STRAY,EUTH,MEDICAL,2022-07-04,DOG,Y,LARGE,DOG,PIT BULL,OWNER SURRENDER,URGENT,2022-12-24,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-08-12,FOSTER RET,ADOPTION,FOSTER,2022-08-12,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-24,FOSTER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-07-06,STRAY,FOSTER,TOO YOUNG,2022-07-11,DOG,N,PUPPY,DOG,MIXED BREED,DISPOS REQ,OTC,2022-12-24,DISPOSAL,DISPOSAL,FY2024,FY2023
FOSTER,RETURN,2022-07-08,STRAY,TRANSFER,RESCUE GRP,2022-07-08,CAT,N,KITTN,DOG,PIT BULL,CONFISCATED,QUARANTINE,2022-12-24,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-07-08,STRAY,EUTH,MEDICAL,2022-07-09,CAT,N,MED,DOG,FRENCH BULLDOG,STRAY,WEB,2022-12-24,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-12-20,STRAY,ADOPTION,WALK IN,2023-02-24,CAT,N,MED,DOG,FRENCH BULLDOG,STRAY,WEB,2022-12-24,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-12-11,STRAY,RTO,IN FIELD,2022-12-11,DOG,N,MED,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-12-24,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-12-02,STRAY,RTO,IN KENNEL,2022-12-08,DOG,N,LARGE,DOG,BULLDOG,STRAY,WEB,2022-12-23,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-12-23,FOSTER RET,TRANSFER,KHS,2022-12-27,DOG,N,LARGE,DOG,PIT BULL,STRAY,WEB,2022-12-24,FOUND EXP,OTHER,FY2024,FY2023
CONFISCATE,NEGLECT,2022-05-16,STRAY,ADOPTION,WALK IN,2022-05-28,CAT,N,KITTN,DOG,YORKSHIRE TERR,STRAY,WEB,2022-12-20,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-12-02,ABANDON,ADOPTION,INTERNET,2022-12-08,CAT,N,KITTN,DOG,BEAGLE,STRAY,WEB,2022-12-24,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-06-06,FOSTER RET,ADOPTION,WEB METRO,2022-06-07,CAT,N,KITTN,DOG,AM PIT BULL TER,STRAY,WEB,2022-12-20,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-12-02,STRAY,ADOPTION,WALK IN,2023-01-23,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-25,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-05-16,STRAY,FOSTER,TOO YOUNG,2022-05-19,CAT,N,SMALL,DOG,PIT BULL,STRAY,AT LARGE,2022-12-25,RETURNED TO OWNER,FIELD,FY2024,FY2023
FOSTER,RETURN,2022-11-16,FOSTER RET,FOSTER,TOO YOUNG,2022-11-16,DOG,N,PUPPY,DOG,BOXER,STRAY,AT LARGE,2022-12-25,RETURNED TO OWNER,FIELD,FY2024,FY2023
DISPOSAL,OWNER,2022-11-24,DOA,DISPOSAL,BY OWNER,2022-11-24,DOG,N,LARGE,DOG,MIXED BREED,STRAY,CONFINED,2022-12-25,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-11-24,STRAY,ADOPTION,FRIEND,2022-12-10,DOG,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-12-25,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-07-10,ABANDON,ADOPTION,INTERNET,2022-07-15,CAT,N,KITTN,DOG,MALTESE,STRAY,WEB,2022-12-25,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-25,STRAY,TRANSFER,KHS,2022-12-27,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-25,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-07-19,STRAY,FOSTER,TOO YOUNG,2022-07-28,DOG,N,PUPPY,DOG,LABRADOR RETR,STRAY,WEB,2022-12-24,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-26,STRAY,EUTH,INHUMANE,2022-11-29,CAT,N,KITTN,DOG,GERM SHEPHERD,STRAY,WEB,2022-12-25,FOUND EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-07-20,ABANDON,ADOPTION,WALK IN,2022-07-28,DOG,N,MED,DOG,GERM SHEPHERD,STRAY,CONFINED,2022-12-25,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-12-15,STRAY,FOSTER,TIME/SPACE,2022-12-29,DOG,N,MED,DOG,BULLMASTIFF,STRAY,WEB,2022-12-25,FOUND EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-07-20,ABANDON,FOSTER,MEDICAL,2022-07-31,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-25,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-12-18,STRAY,ADOPTION,TV,2023-01-25,DOG,N,LARGE,DOG,BULLDOG,OWNER SURRENDER,URGENT,2022-12-25,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,FIELD,2022-02-02,STRAY,ADOPTION,WALK IN,2022-02-22,DOG,N,MED,DOG,BULLDOG,OWNER SURRENDER,URGENT,2022-12-25,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,FIELD,2022-12-29,STRAY,FOSTER,TIME/SPACE,2023-02-15,DOG,N,MED,CAT,AMER SH,STRAY,WEB,2022-12-18,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-03-23,STRAY,TNR,CARETAKER,2022-03-25,CAT,N,MED,CAT,AMER SH,STRAY,WEB,2022-10-04,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-08-24,FOSTER RET,FOSTER,TOO YOUNG,2022-09-07,CAT,N,KITTN,CAT,DOMESTIC SH,STRAY,CONFINED,2022-12-26,EUTHANIZED,HUMANE,FY2024,FY2023
FOSTER,RETURN,2022-09-10,OTHER PET,ADOPTION,WALK IN,2022-09-17,DOG,N,MED,DOG,BORDER COLLIE,STRAY,WEB,2022-12-23,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-09-15,STRAY,RTO,IN KENNEL,2022-09-16,DOG,N,SMALL,CAT,AMER SH,STRAY,WEB,2022-12-21,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-17,STRAY,RTO,IN KENNEL,2022-11-19,DOG,N,MED,BIRD,HAWK,WILDLIFE,NON-RABIES,2022-12-26,WILDLIFE,TRANSFER,FY2024,FY2023
STRAY,OTC,2022-08-12,STRAY,FOSTER,VACATION,2022-08-13,RABBIT,N,SMALL,DOG,POMERANIAN,STRAY,WEB,2022-12-17,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-10-22,FOSTER RET,ADOPTION,WALK IN,2022-10-22,DOG,N,PUPPY,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-12-26,DISPOSAL,DISPOSAL,FY2024,FY2023
FOSTER,RETURN,2022-09-22,FOSTER RET,ADOPTION,WALK IN,2022-09-22,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-11-18,STRAY,RTO,IN KENNEL,2022-11-18,DOG,N,LARGE,DOG,AUST CATTLE DOG,STRAY,WEB,2022-12-24,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-09-18,STRAY,ADOPTION,WALK IN,2022-09-23,DOG,N,SMALL,DOG,JACK RUSS TERR,STRAY,WEB,2022-12-24,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-08-01,STRAY,DIED,IN KENNEL,2022-08-27,CAT,N,KITTN,DOG,AMER BULLDOG,STRAY,WEB,2022-12-25,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-22,STRAY,FOSTER,VACATION,2022-12-02,RABBIT,N,MED,DOG,AM PIT BULL TER,STRAY,WEB,2022-12-25,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-23,STRAY,TRANSFER,KHS,2022-12-05,DOG,N,X-LRG,DOG,AM PIT BULL TER,STRAY,WEB,2022-12-25,FOUND EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-09-22,STRAY,RTO,IN KENNEL,2022-09-23,DOG,N,MED,DOG,AM PIT BULL TER,STRAY,WEB,2022-12-25,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-11-25,STRAY,ADOPTION,WALK IN,2022-12-10,DOG,N,LARGE,DOG,CAIRN TERRIER,STRAY,AT LARGE,2022-12-26,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-09-26,STRAY,ADOPTION,WALK IN,2022-10-17,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,FOSTER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-11-25,STRAY,RTO,IN KENNEL,2022-11-28,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-05-23,STRAY,ADOPTION,WALK IN,2022-05-31,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-07-27,FOSTER RET,ADOPTION,WALK IN,2022-07-29,CAT,N,KITTN,DOG,MIXED BREED,OWNER SURRENDER,QUARANTINE,2022-12-27,EUTHANIZED,BITE,FY2024,FY2023
FOSTER,RETURN,2022-05-12,FOSTER RET,ADOPTION,FRIEND,2022-05-12,DOG,N,PUPPY,CAT,BOMBAY,STRAY,WEB,2022-12-24,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-07-27,FOSTER RET,ADOPTION,WALK IN,2022-07-29,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,TRANSFER,UNDERAGE,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-12-09,OWNER DIED,EUTH,REQUESTED,2022-12-09,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-12-15,STRAY,RTO,IN KENNEL,2022-12-17,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-30,STRAY,ADOPTION,WALK IN,2022-07-07,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,TRANSFER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-06-13,STRAY,RTO,IN KENNEL,2022-06-14,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-06-08,STRAY,ADOPTION,WALK IN,2022-06-18,CAT,N,KITTN,DOG,SHIH TZU,STRAY,WEB,2022-12-25,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-06-10,STRAY,ADOPTION,WALK IN,2022-06-29,CAT,N,MED,DOG,POMERANIAN,STRAY,WEB,2022-12-26,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-07-15,FOSTER RET,ADOPTION,INTERNET,2022-07-16,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,FOSTER,GENERAL,FY2024,FY2023
FOSTER,RETURN,2022-07-15,FOSTER RET,ADOPTION,WALK IN,2022-07-16,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,EUTHANIZED,SPACE:MED,FY2024,FY2023
STRAY,OTC,2022-06-11,STRAY,FOSTER,TOO YOUNG,2022-06-11,CAT,N,KITTN,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-12-26,TRANSFER,GENERAL,FY2024,FY2023
FOSTER,RETURN,2022-06-12,FOSTER RET,DIED,IN FOSTER,2022-06-12,CAT,N,KITTN,DOG,MIXED BREED,STRAY,CONFINED,2022-12-26,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-06-13,STRAY,FOSTER,TOO YOUNG,2022-07-06,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-26,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-11-22,STRAY,TRANSFER,RESCUE GRP,2022-12-03,DOG,N,SMALL,DOG,CHIHUAHUA SH,OWNER SURRENDER,URGENT,2022-12-26,ADOPTION,WESTMORELD,FY2024,FY2023
